,HCAI_PP
2018-01,2.517957936
2018-02,2.537957936
2018-03,2.557957936
2018-04,2.568391204
2018-05,2.568391204
2018-06,2.568391204
2018-07,2.574407697
2018-08,2.5844076969999996
2018-09,2.594407697
2018-10,2.617845731
2018-11,2.667845731
2018-12,2.717845731
2019-01,2.774221486
2019-02,2.784221486
2019-03,2.794221486
2019-04,2.79140625
2019-05,2.77140625
2019-06,2.75140625
2019-07,2.725035525
2019-08,2.685035525
2019-09,2.645035525
2019-10,2.597060529
2019-11,2.6570605290000002
2019-12,2.7170605290000003
2020-01,2.770027958
2020-02,2.800027958
2020-03,2.830027958
2020-04,2.851247346
2020-05,2.8012473460000002
2020-06,2.751247346
2020-07,2.688028534
2020-08,2.708028534
2020-09,2.728028534
2020-10,2.743789101
2020-11,2.763789101
2020-12,2.783789101
